"date_sold","region","suburb","property_type","price","weekly_household","estimated_annual_household","affordability_ratio","km_from_cbd","num_bed","num_bath","num_parking","property_size"
"13/2/16","Inner West","Leichhardt","House","1600000","2673","138996","11.51","5.31","4","1","0","177"
"18/2/16","CBD & Inner City","Ultimo","House","2300000","1805","93860","24.5","1.9","4","2","0","134"
"18/2/16","Inner West","Leichhardt","House","1500000","2673","138996","10.79","5.31","4","2","0","177"
"19/2/16","Inner West","Leichhardt","House","1265000","2673","138996","9.1","5.31","3","1","0","220"
"20/2/16","Inner West","Burwood","House","1340000","1671","86892","15.42","9.9","2","1","2","273"
"26/2/16","Inner South","Mascot","House","1230000","2254","117208","10.49","9.35","3","2","2","266"
"27/2/16","Inner West","Leichhardt","House","1800000","2673","138996","12.95","5.31","3","2","1","348"
"27/2/16","Inner West","Leichhardt","House","1160000","2673","138996","8.35","5.31","3","1","0","186"
"27/2/16","Inner West","Leichhardt","House","1085000","2673","138996","7.81","5.31","2","1","1","209"
"27/2/16","Inner West","Leichhardt","House","925000","2673","138996","6.65","5.31","2","1","0","139"
"29/2/16","Inner South","Alexandria","House","1100000","2654","138008","7.97","5.06","2","1","1","112"
"29/2/16","Inner South","Zetland","Apartment / Unit / Flat","755000","2192","113984","6.62","4.72","1","1","1","59"
"17/3/16","Inner South","Mascot","House","1105000","2254","117208","9.43","9.35","3","1","0","253"
"18/3/16","Inner South","Alexandria","House","1800000","2654","138008","13.04","5.06","3","2","2","145"
"19/3/16","Eastern Suburbs","Bondi Junction","House","2418000","2379","123708","19.55","4.85","3","2","0","205"
"19/3/16","Inner South","Mascot","House","1219000","2254","117208","10.4","9.35","3","2","1","251"
"30/3/16","Inner South","Alexandria","Apartment / Unit / Flat","900000","2654","138008","6.52","5.06","2","1","1","603"
"17/4/16","Eastern Suburbs","Bondi Junction","House","1840000","2379","123708","14.87","4.85","3","1","0","264"
"16/5/16","Eastern Suburbs","Bondi","Apartment / Unit / Flat","1010000","2546","132392","7.63","6.13","2","1","1","81"
"28/5/16","North Shore","Eastwood","House","1650000","1945","101140","16.31","14.34","3","2","1","556"
"28/5/16","North Shore","Eastwood","House","1265000","1945","101140","12.51","14.34","5","1","1","664"
"15/6/16","Eastern Suburbs","Bondi","House","2650000","2546","132392","20.02","6.13","4","2","2","400"
"16/7/16","North Shore","St Leonards","Apartment / Unit / Flat","695000","2475","128700","5.4","5","1","1","0","55"
"10/10/16","North Shore","North Sydney","Apartment / Unit / Flat","800000","2405","125060","6.4","3.16","2","1","1","86"
"12/10/16","South / St George","Arncliffe","House","1425000","2046","106392","13.39","10.09","3","2","1","241"
"21/10/16","Inner South","Waterloo","House","3100000","2028","105456","29.4","3.91","4","3","1","455"
"21/10/16","Western Sydney","Rhodes","Apartment / Unit / Flat","935000","2183","113516","8.24","11.87","2","2","1","110"
"29/10/16","South / St George","Arncliffe","House","1600000","2046","106392","15.04","10.09","3","2","3","697"
"24/11/16","CBD & Inner City","Sydney","Apartment / Unit / Flat","4150000","2227","115804","35.84","0.31","3","2","2","186"
"25/11/16","North Shore","Chatswood","House","2500000","2158","112216","22.28","8.15","4","2","1","670"
"25/11/16","South / St George","Arncliffe","House","2000000","2046","106392","18.8","10.09","5","2","4","396"
"25/11/16","Inner South","Redfern","Apartment / Unit / Flat","581000","2145","111540","5.21","3.12","1","1","0","57"
"26/11/16","CBD & Inner City","Ultimo","House","2450000","1805","93860","26.1","1.9","3","2","2","231"
"28/11/16","South / St George","Arncliffe","House","1025000","2046","106392","9.63","10.09","2","1","1","355"
"28/11/16","North Shore","Chatswood","Apartment / Unit / Flat","688000","2158","112216","6.13","8.15","1","1","1","103"
"30/11/16","North Shore","Chatswood","House","2400000","2158","112216","21.39","8.15","3","1","1","715"
"30/11/16","South / St George","Arncliffe","House","1685000","2046","106392","15.84","10.09","5","2","4","730"
"3/12/16","Inner South","Mascot","House","1351000","2254","117208","11.53","9.35","3","1","1","420"
"13/12/16","CBD & Inner City","Sydney","Apartment / Unit / Flat","2020000","2227","115804","17.44","0.31","3","3","2","173"
"15/12/16","North Shore","Chatswood","Apartment / Unit / Flat","1350100","2158","112216","12.03","8.15","2","2","1","130"
"16/12/16","South / St George","Kogarah","Apartment / Unit / Flat","600000","1903","98956","6.06","13.34","2","1","1","101"
"17/12/16","Inner South","Redfern","House","1142000","2145","111540","10.24","3.12","2","1","0","76"
"20/12/16","South / St George","Kogarah","Apartment / Unit / Flat","715000","1903","98956","7.23","13.34","2","1","1","113"
"23/12/16","South / St George","Kogarah","Apartment / Unit / Flat","655000","1903","98956","6.62","13.34","3","1","1","129"
"14/2/17","South / St George","Kogarah","Apartment / Unit / Flat","600000","1903","98956","6.06","13.34","2","1","1","92"
"23/2/17","South / St George","Kogarah","House","2020000","1903","98956","20.41","13.34","4","3","2","436"
"23/2/17","South / St George","Kogarah","House","1400000","1903","98956","14.15","13.34","3","1","2","449"
"20/5/17","Inner West","Leichhardt","House","1205000","2673","138996","8.67","5.31","2","1","0","184"
"27/5/17","Inner West","Leichhardt","House","1682000","2673","138996","12.1","5.31","2","1","0","304"
"29/5/17","Inner West","Leichhardt","House","1763000","2673","138996","12.68","5.31","3","1","0","328"
"31/5/17","South / St George","Wolli Creek","Apartment / Unit / Flat","852800","2163","112476","7.58","9.02","2","2","1","107"
"13/6/17","Inner West","Ashfield","House","1950000","1888","98176","19.86","8.08","3","1","4","405"
"16/6/17","Inner West","Ashfield","House","1390000","1888","98176","14.16","8.08","2","2","1","170"
"17/6/17","South / St George","Hurstville","House","1280000","1804","93808","13.64","14.81","3","1","3","674"
"23/6/17","Inner South","Waterloo","Apartment / Unit / Flat","942000","2028","105456","8.93","3.91","2","2","1","114"
"24/6/17","Inner South","Mascot","House","2470000","2254","117208","21.07","9.35","5","4","4","468"
"16/7/17","South / St George","Miranda","House","1690000","1920","99840","16.93","20.95","5","2","4","650"
"21/7/17","South / St George","Miranda","House","1305000","1920","99840","13.07","20.95","3","1","1","803"
"21/7/17","Inner South","Alexandria","Apartment / Unit / Flat","720000","2654","138008","5.22","5.06","1","1","1","91"
"25/7/17","South / St George","Miranda","House","1050000","1920","99840","10.52","20.95","3","1","1","298"
"26/7/17","South / St George","Miranda","Apartment / Unit / Flat","670000","1920","99840","6.71","20.95","2","1","1","111"
"31/7/17","Inner South","Alexandria","House","8300000","2654","138008","60.14","5.06","47","46","50","988"
"25/8/17","Inner West","Annandale","House","1950000","2683","139516","13.98","4.06","4","2","2","253"
"30/8/17","North Shore","Eastwood","House","1750000","1945","101140","17.3","14.34","3","1","2","696"
"15/9/17","CBD & Inner City","Surry Hills","Apartment / Unit / Flat","1450000","2308","120016","12.08","2.14","2","2","1","99"
"15/9/17","Inner West","Annandale","Apartment / Unit / Flat","591000","2683","139516","4.24","4.06","1","1","1","66"
"16/9/17","CBD & Inner City","Surry Hills","House","1170000","2308","120016","9.75","2.14","1","1","0","34"
"22/9/17","Inner West","Annandale","House","2660000","2683","139516","19.07","4.06","4","2","1","304"
"22/9/17","CBD & Inner City","Surry Hills","House","1650000","2308","120016","13.75","2.14","4","1","1","108"
"23/9/17","North Shore","Eastwood","House","1895000","1945","101140","18.74","14.34","3","2","1","512"
"23/9/17","Inner West","Annandale","House","1770000","2683","139516","12.69","4.06","3","1","0","221"
"24/9/17","Inner West","Annandale","House","2160000","2683","139516","15.48","4.06","4","2","1","171"
"2/10/17","CBD & Inner City","Ultimo","Apartment / Unit / Flat","645000","1805","93860","6.87","1.9","1","1","0","57"
"8/10/17","South / St George","Miranda","House","1100000","1920","99840","11.02","20.95","3","1","1","556"
"10/10/17","Inner West","Annandale","House","1670000","2683","139516","11.97","4.06","3","1","0","189"
"14/10/17","South / St George","Kogarah","House","2990000","1903","98956","30.22","13.34","4","1","3","533"
"16/10/17","North Shore","Carlingford","House","2900000","2084","108368","26.76","18.2","6","4","4","930"
"21/10/17","North Shore","Carlingford","House","1435000","2084","108368","13.24","18.2","4","3","2","986"
"28/10/17","North Shore","Carlingford","House","1410000","2084","108368","13.01","18.2","3","2","2","739"
"28/10/17","Inner South","Mascot","Apartment / Unit / Flat","755000","2254","117208","6.44","9.35","2","2","2","145"
"12/11/17","South / St George","Arncliffe","House","2000000","2046","106392","18.8","10.09","3","3","1","727"
"12/11/17","CBD & Inner City","Sydney","Apartment / Unit / Flat","560000","2227","115804","4.84","0.31","1","1","0","40"
"28/11/17","Inner South","Mascot","House","1200000","2254","117208","10.24","9.35","2","1","1","221"
"19/12/17","Inner West","Strathfield","House","2350000","2262","117624","19.98","12.01","5","3","2","701"
"22/12/17","CBD & Inner City","Sydney","Apartment / Unit / Flat","950000","2227","115804","8.2","0.31","2","1","0","97"
"17/1/18","Inner South","Mascot","House","2030000","2254","117208","17.32","9.35","5","3","3","437"
"22/2/18","Inner West","Burwood","Apartment / Unit / Flat","980000","1671","86892","11.28","9.9","2","2","1","138"
"24/2/18","Inner West","Strathfield","Apartment / Unit / Flat","650000","2262","117624","5.53","12.01","2","1","1","100"
"17/3/18","Inner West","Burwood","Apartment / Unit / Flat","880000","1671","86892","10.13","9.9","2","1","1","110"
"19/3/18","Inner West","Burwood","Apartment / Unit / Flat","1800000","1671","86892","20.72","9.9","3","2","3","2139"
"19/3/18","Inner South","Zetland","Apartment / Unit / Flat","927000","2192","113984","8.13","4.72","2","2","1","112"
"29/3/18","Inner South","Zetland","Apartment / Unit / Flat","945000","2192","113984","8.29","4.72","2","2","1","111"
"31/3/18","South / St George","Rockdale","House","1100000","1906","99112","11.1","11.79","3","1","1","314"
"14/5/18","Inner South","Zetland","Apartment / Unit / Flat","660000","2192","113984","5.79","4.72","1","1","0","68"
"19/5/18","Inner West","Marrickville","House","1325000","2170","112840","11.74","7.23","3","2","1","192"
"21/5/18","Inner West","Marrickville","Apartment / Unit / Flat","825000","2170","112840","7.31","7.23","2","2","1","116"
"22/5/18","Inner South","Zetland","Apartment / Unit / Flat","1440000","2192","113984","12.63","4.72","3","2","3","226"
"25/5/18","Western Sydney","Parramatta","House","1100000","2092","108784","10.11","19.44","3","1","3","695"
"26/5/18","Inner West","Marrickville","House","2431000","2170","112840","21.54","7.23","3","3","2","580"
"29/5/18","Inner South","Zetland","House","2000000","2192","113984","17.55","4.72","3","3","2","155"
"29/5/18","Inner West","Marrickville","Apartment / Unit / Flat","550000","2170","112840","4.87","7.23","2","1","0","62"
"31/5/18","Inner West","Marrickville","House","1525000","2170","112840","13.51","7.23","3","1","0","297"
"19/6/18","Inner West","Marrickville","House","1300000","2170","112840","11.52","7.23","2","1","0","202"
"13/7/18","South / St George","Hurstville","House","1350000","1804","93808","14.39","14.81","3","2","1","402"
"14/7/18","Inner West","Ashfield","Apartment / Unit / Flat","735000","1888","98176","7.49","8.08","2","2","2","128"
"14/7/18","Inner West","Ashfield","Apartment / Unit / Flat","630000","1888","98176","6.42","8.08","2","1","1","69"
"16/7/18","South / St George","Hurstville","House","1850000","1804","93808","19.72","14.81","6","3","1","776"
"21/7/18","South / St George","Hurstville","House","1890000","1804","93808","20.15","14.81","6","3","2","569"
"21/7/18","South / St George","Hurstville","Apartment / Unit / Flat","585000","1804","93808","6.24","14.81","1","1","1","91"
"20/8/18","South / St George","Hurstville","House","1200000","1804","93808","12.79","14.81","3","1","1","575"
"15/9/18","North Shore","Chatswood","House","1566000","2158","112216","13.96","8.15","3","2","1","575"
"21/9/18","North Shore","Chatswood","Apartment / Unit / Flat","1270000","2158","112216","11.32","8.15","3","2","2","308"
"28/9/18","North Shore","Artarmon","House","2380000","2420","125840","18.91","6.34","4","2","2","697"
"3/10/18","Inner West","Burwood","House","3400000","1671","86892","39.13","9.9","4","1","2","1373"
"11/10/18","North Shore","Epping","House","1201000","2243","116636","10.3","15.95","3","2","2","809"
"11/10/18","Inner South","Redfern","House","905000","2145","111540","8.11","3.12","2","1","0","57"
"12/10/18","South / St George","Miranda","House","1621000","1920","99840","16.24","20.95","5","2","3","872"
"17/10/18","North Shore","Chatswood","House","2310000","2158","112216","20.59","8.15","4","2","2","696"
"25/10/18","South / St George","Kogarah","House","1600000","1903","98956","16.17","13.34","4","3","3","430"
"26/10/18","North Shore","Chatswood","House","1580000","2158","112216","14.08","8.15","4","2","1","599"
"27/10/18","North Shore","Epping","House","2335000","2243","116636","20.02","15.95","5","4","2","730"
"27/10/18","North Shore","Epping","House","1805000","2243","116636","15.48","15.95","4","2","2","739"
"27/10/18","North Shore","Epping","House","1775000","2243","116636","15.22","15.95","3","1","3","766"
"27/10/18","North Shore","Epping","House","1452000","2243","116636","12.45","15.95","4","2","2","568"
"27/10/18","South / St George","Kogarah","House","1280000","1903","98956","12.94","13.34","3","1","1","494"
"1/11/18","CBD & Inner City","Sydney","Apartment / Unit / Flat","815000","2227","115804","7.04","0.31","1","1","0","69"
"12/11/18","South / St George","Miranda","Apartment / Unit / Flat","662000","1920","99840","6.63","20.95","2","2","1","146"
"13/11/18","North Shore","Epping","House","1320000","2243","116636","11.32","15.95","4","2","2","1069"
"14/11/18","North Shore","Chatswood","Apartment / Unit / Flat","1638000","2158","112216","14.6","8.15","2","2","1","125"
"17/11/18","North Shore","Epping","House","1710000","2243","116636","14.66","15.95","5","1","2","980"
"21/11/18","North Shore","Chatswood","Apartment / Unit / Flat","1042000","2158","112216","9.29","8.15","1","1","1","84"
"23/11/18","South / St George","Kogarah","House","1650000","1903","98956","16.67","13.34","4","3","4","698"
"26/11/18","North Shore","Chatswood","House","2985000","2158","112216","26.6","8.15","3","1","2","841"
"30/11/18","North Shore","Epping","House","1225000","2243","116636","10.5","15.95","4","2","2","752"
"14/12/18","South / St George","Miranda","House","980000","1920","99840","9.82","20.95","4","2","2","575"
"15/12/18","North Shore","Chatswood","House","2095000","2158","112216","18.67","8.15","4","2","1","424"
"15/12/18","South / St George","Kogarah","House","1020000","1903","98956","10.31","13.34","4","1","2","474"
"17/12/18","South / St George","Miranda","House","860000","1920","99840","8.61","20.95","3","1","1","581"
"13/2/19","Inner South","Redfern","Apartment / Unit / Flat","600000","2145","111540","5.38","3.12","1","1","1","43"
"14/2/19","Inner South","Alexandria","House","1875000","2654","138008","13.59","5.06","4","2","1","155"
"20/2/19","South / St George","Miranda","House","1090000","1920","99840","10.92","20.95","4","2","2","575"
"23/2/19","Inner South","Alexandria","House","1301000","2654","138008","9.43","5.06","2","2","1","137"
"25/2/19","Inner South","Redfern","House","1245000","2145","111540","11.16","3.12","2","1","0","89"
"26/2/19","Inner South","Alexandria","Apartment / Unit / Flat","760000","2654","138008","5.51","5.06","2","1","1","118"
"27/2/19","Inner South","Alexandria","Apartment / Unit / Flat","780000","2654","138008","5.65","5.06","2","2","1","127"
"28/2/19","South / St George","Kogarah","House","2000000","1903","98956","20.21","13.34","5","2","4","1152"
"16/3/19","Eastern Suburbs","Bondi","House","3738000","2546","132392","28.23","6.13","5","2","2","531"
"19/3/19","Eastern Suburbs","Bondi Junction","House","1450000","2379","123708","11.72","4.85","2","1","0","139"
"22/3/19","Eastern Suburbs","Bondi","House","1605000","2546","132392","12.12","6.13","2","1","0","190"
"23/3/19","North Shore","Carlingford","House","1315000","2084","108368","12.13","18.2","4","3","2","714"
"25/3/19","Inner South","Waterloo","Apartment / Unit / Flat","1150000","2028","105456","10.91","3.91","3","2","2","167"
"28/3/19","CBD & Inner City","Surry Hills","Apartment / Unit / Flat","660000","2308","120016","5.5","2.14","1","1","0","72"
"30/3/19","Eastern Suburbs","Bondi Junction","Apartment / Unit / Flat","750000","2379","123708","6.06","4.85","1","1","0","63"
"13/4/19","Western Sydney","Rhodes","House","4750000","2183","113516","41.84","11.87","4","3","3","1018"
"18/4/19","North Shore","Carlingford","House","1300000","2084","108368","12","18.2","4","3","2","720"
"18/4/19","North Shore","Carlingford","House","1101000","2084","108368","10.16","18.2","4","3","2","1105"
"18/4/19","North Shore","Carlingford","House","1100000","2084","108368","10.15","18.2","3","1","3","885"
"21/4/19","North Shore","Ryde","Apartment / Unit / Flat","833000","2024","105248","7.91","10.92","2","2","1","138"
"30/4/19","Inner South","Waterloo","Apartment / Unit / Flat","675000","2028","105456","6.4","3.91","1","1","1","77"
"13/5/19","North Shore","Ryde","House","1280000","2024","105248","12.16","10.92","5","3","2","898"
"15/5/19","North Shore","Ryde","House","2530000","2024","105248","24.04","10.92","6","4","2","854"
"20/5/19","North Shore","Ryde","House","1273300","2024","105248","12.1","10.92","5","2","1","771"
"24/5/19","Eastern Suburbs","Bondi Junction","House","4050000","2379","123708","32.74","4.85","7","4","3","790"
"15/6/19","Inner West","Marrickville","House","2100000","2170","112840","18.61","7.23","4","1","1","493"
"15/6/19","CBD & Inner City","Sydney","Apartment / Unit / Flat","1250000","2227","115804","10.79","0.31","2","2","1","128"
"17/6/19","CBD & Inner City","Sydney","Apartment / Unit / Flat","2404000","2227","115804","20.76","0.31","1","2","1","102"
"18/6/19","CBD & Inner City","Sydney","Apartment / Unit / Flat","3200000","2227","115804","27.63","0.31","3","3","2","166"
"19/6/19","Inner West","Marrickville","House","1025000","2170","112840","9.08","7.23","2","1","0","164"
"20/6/19","Inner West","Marrickville","Apartment / Unit / Flat","455000","2170","112840","4.03","7.23","1","1","0","46"
"21/6/19","Inner West","Marrickville","House","2550000","2170","112840","22.6","7.23","4","1","2","693"
"21/6/19","Inner West","Leichhardt","House","1220000","2673","138996","8.78","5.31","3","1","0","219"
"21/6/19","CBD & Inner City","Sydney","Apartment / Unit / Flat","1190000","2227","115804","10.28","0.31","2","2","1","122"
"26/6/19","Inner West","Leichhardt","House","1730000","2673","138996","12.45","5.31","4","3","1","190"
"28/6/19","Eastern Suburbs","Bondi","Apartment / Unit / Flat","1400000","2546","132392","10.57","6.13","2","1","1","98"
"16/7/19","Western Sydney","Parramatta","Apartment / Unit / Flat","725000","2092","108784","6.66","19.44","3","2","2","155"
"17/7/19","Inner West","Strathfield","Apartment / Unit / Flat","665000","2262","117624","5.65","12.01","2","2","1","145"
"20/7/19","Inner West","Leichhardt","House","1800000","2673","138996","12.95","5.31","3","1","8","423"
"20/7/19","North Shore","Eastwood","House","1486000","1945","101140","14.69","14.34","4","3","2","645"
"23/7/19","Inner West","Strathfield","House","2325000","2262","117624","19.77","12.01","4","2","2","645"
"23/7/19","Inner West","Strathfield","Apartment / Unit / Flat","800000","2262","117624","6.8","12.01","2","2","2","199"
"27/7/19","North Shore","Eastwood","House","1250000","1945","101140","12.36","14.34","3","1","1","620"
"27/7/19","Inner West","Strathfield","House","1210000","2262","117624","10.29","12.01","3","1","1","260"
"17/8/19","Inner West","Leichhardt","House","1920000","2673","138996","13.81","5.31","4","2","0","380"
"7/10/19","Inner West","Leichhardt","House","1083000","2673","138996","7.79","5.31","3","1","1","151"
"7/10/19","Western Sydney","Parramatta","House","730000","2092","108784","6.71","19.44","4","2","0","234"
"8/10/19","Inner West","Strathfield","House","3850000","2262","117624","32.73","12.01","5","6","6","697"
"18/10/19","North Shore","St Leonards","Apartment / Unit / Flat","660000","2475","128700","5.13","5","1","1","0","72"
"25/10/19","North Shore","Epping","Apartment / Unit / Flat","990000","2243","116636","8.49","15.95","3","2","2","209"
"5/11/19","Eastern Suburbs","Bondi Junction","House","1780000","2379","123708","14.39","4.85","3","1","2","216"
"5/11/19","Eastern Suburbs","Bondi Junction","Apartment / Unit / Flat","870000","2379","123708","7.03","4.85","1","1","1","77"
"16/11/19","North Shore","Artarmon","House","3253000","2420","125840","25.85","6.34","4","2","3","1467"
"3/12/19","North Shore","North Sydney","Apartment / Unit / Flat","1200000","2405","125060","9.6","3.16","2","2","1","109"
"4/12/19","North Shore","North Sydney","House","4000000","2405","125060","31.98","3.16","5","3","2","512"
"7/12/19","Western Sydney","Parramatta","Apartment / Unit / Flat","665000","2092","108784","6.11","19.44","2","2","1","114"
"14/12/19","South / St George","Arncliffe","Apartment / Unit / Flat","700000","2046","106392","6.58","10.09","2","2","1","139"
"25/1/20","South / St George","Wolli Creek","Apartment / Unit / Flat","740000","2163","112476","6.58","9.02","2","2","1","114"
"31/1/20","South / St George","Hurstville","House","1405000","1804","93808","14.98","14.81","4","3","1","470"
"15/2/20","Inner West","Ashfield","House","1650000","1888","98176","16.81","8.08","4","1","2","504"
"21/2/20","South / St George","Wolli Creek","Apartment / Unit / Flat","961000","2163","112476","8.54","9.02","2","2","1","119"
"21/2/20","South / St George","Wolli Creek","Apartment / Unit / Flat","760000","2163","112476","6.76","9.02","2","1","1","96"
"21/2/20","Inner West","Ashfield","Apartment / Unit / Flat","650000","1888","98176","6.62","8.08","2","1","0","69"
"22/2/20","Inner West","Ashfield","House","1900000","1888","98176","19.35","8.08","5","2","2","676"
"22/2/20","South / St George","Hurstville","House","1224000","1804","93808","13.05","14.81","3","1","1","457"
"27/2/20","Inner West","Annandale","House","3550000","2683","139516","25.45","4.06","5","2","2","552"
"28/2/20","CBD & Inner City","Sydney","Apartment / Unit / Flat","1885000","2227","115804","16.28","0.31","1","2","1","107"
"29/2/20","Inner West","Ashfield","House","1585000","1888","98176","16.14","8.08","2","1","2","285"
"13/3/20","North Shore","Ryde","House","1362500","2024","105248","12.95","10.92","2","1","2","866"
"15/3/20","South / St George","Miranda","House","1755000","1920","99840","17.58","20.95","4","3","2","935"
"19/3/20","CBD & Inner City","Surry Hills","House","2225000","2308","120016","18.54","2.14","3","1","1","108"
"20/3/20","CBD & Inner City","Surry Hills","House","1270000","2308","120016","10.58","2.14","2","1","0","70"
"23/3/20","CBD & Inner City","Surry Hills","House","2200000","2308","120016","18.33","2.14","3","2","0","124"
"25/3/20","South / St George","Miranda","Apartment / Unit / Flat","550000","1920","99840","5.51","20.95","1","1","1","153"
"23/4/20","Inner West","Annandale","House","1440000","2683","139516","10.32","4.06","3","2","0","103"
"23/4/20","North Shore","Carlingford","House","1225000","2084","108368","11.3","18.2","3","2","2","954"
"24/4/20","North Shore","Carlingford","House","1600000","2084","108368","14.76","18.2","4","2","2","879"
